,href,ppl,abv_raw,abv,ppl_int,price_per_unit,beer_name
0,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/badger-fursty-ferret-ale-500ml,£3.30 / ltr,"Alcohol by volume: 4.4%
Serving suggestion: Dark crystal malt delivers a full bodied biscuity taste, rounded off with a subtle floral and lemon hop aroma
Alcoholic content: 2.2 units",4.4,3.3,0.7499999999999999,badger-fursty-ferret-ale-500ml
1,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/birra-moretti-12x330ml,£3.79 / ltr,"Alcohol by volume: 4.6%
Alcoholic content: 1.5 units",4.6,3.79,0.8239130434782609,birra-moretti-12x330ml
2,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/birra-moretti-lager-4x330ml,£3.98 / ltr,"Alcohol by volume: 4.6%
Alcoholic content: 1.5 units",4.6,3.98,0.8652173913043479,birra-moretti-lager-4x330ml
3,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/birra-moretti-lager-660ml,£2.88 / ltr,Alcohol by volume: 4.6%,4.6,2.88,0.6260869565217392,birra-moretti-lager-660ml
4,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/birra-moretti-lager-beer-bottle-18x330ml,£2.86 / ltr,Alcohol by volume: 4.6%,4.6,2.86,0.6217391304347827,birra-moretti-lager-beer-bottle-18x330ml
5,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/bishops-finger-ale-500ml,£2.60 / ltr,"Alcohol by volume: 5.4%
Alcoholic content: 2.7 units",5.4,2.6,0.48148148148148145,bishops-finger-ale-500ml
6,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/black-sheep-ale--bottle-500ml,£3.00 / ltr,"Alcohol by volume: 4.4%
Serving suggestion: A well rounded premium amber ale packed with British hops and a complex malt blend. Dried fruits and a touch of caramel strike the palate leading to a rich, bitter-sweet finish
Alcoholic content: 2.2 units",4.4,3.0,0.6818181818181818,black-sheep-ale--bottle-500ml
7,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/brewdog-punk-india-pale-ale-ipa-4x330ml,£4.17 / ltr,Alcohol by volume: 5.4%,5.4,4.17,0.7722222222222221,brewdog-punk-india-pale-ale-ipa-4x330ml
8,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/budweiser-18x440ml,£1.77 / ltr,Alcohol by volume: 4.5%,4.5,1.77,0.3933333333333333,budweiser-18x440ml
9,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/budweiser-lager-beer-bottles-20x300ml,£1.83 / ltr,"Alcohol by volume: 4.5%
Alcoholic content: 1.4 units",4.5,1.83,0.4066666666666667,budweiser-lager-beer-bottles-20x300ml
10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/carling-lager-18x440ml,£1.39 / ltr,Alcohol by volume: 4%,4,1.39,0.3475,carling-lager-18x440ml
11,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/coors-light-15-x-330ml,£2.42 / ltr,"Alcohol by volume: 4%
Serving suggestion: Coors is a clean, light and refreshing lager with low bitterness and crisp finish that delivers mountain cold refreshment",4,2.42,0.605,coors-light-15-x-330ml
12,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/corona-18x330ml,£3.03 / ltr,Alcohol by volume: 4.5%,4.5,3.03,0.6733333333333333,corona-18x330ml
13,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/all-beers/corona-extra-12x330ml,£2.78 / ltr,Alcohol by volume: 4.5%,4.5,2.78,0.6177777777777778,corona-extra-12x330ml
